ID,Hora,Valor
WV004,12_20_00,82
WV004,12_20_10,82
WV004,12_20_20,83
WV004,12_20_30,82.5
WV004,12_20_40,83
WV004,12_20_50,82
WV001,12_20_00,87
WV001,12_20_10,96
WV001,12_20_20,86.9
WV001,12_20_30,87.4
WV001,12_20_40,87
WV001,12_20_50,87
WV002,12_20_00,67
WV002,12_20_10,67
WV002,12_20_20,66.5
WV002,12_20_30,66
WV002,12_20_40,63
WV002,12_20_50,69
WV003,12_20_00,55
WV003,12_20_10,55
WV003,12_20_20,54
WV003,12_20_30,50
WV003,12_20_40,47
WV003,12_20_50,46
WV004,12_20_00,82
WV004,12_20_10,82
WV004,12_20_20,83
WV004,12_20_30,82.5
WV004,12_20_40,83
WV004,12_20_50,82
WV001,12_20_00,87
WV001,12_20_10,96
WV001,12_20_20,86.9
WV001,12_20_30,87.4
WV001,12_20_40,87
WV001,12_20_50,87
WV003,12_20_00,55
WV003,12_20_10,55
WV003,12_20_20,54
WV003,12_20_30,50
WV003,12_20_40,47
WV003,12_20_50,46
WV002,12_20_00,67
WV002,12_20_10,67
WV002,12_20_20,66.5
WV002,12_20_30,66
WV002,12_20_40,63
WV002,12_20_50,69
WV004,12_20_00,82
WV004,12_20_10,82
WV004,12_20_20,83
WV004,12_20_30,82.5
WV004,12_20_40,83
WV004,12_20_50,82
WV001,12_20_00,87
WV001,12_20_10,96
WV001,12_20_20,86.9
WV001,12_20_30,87.4
WV001,12_20_40,87
WV001,12_20_50,87
WV003,12_20_00,55
WV003,12_20_10,55
WV003,12_20_20,54
WV003,12_20_30,50
WV003,12_20_40,47
WV003,12_20_50,46
WV002,12_20_00,67
WV002,12_20_10,67
WV002,12_20_20,66.5
WV002,12_20_30,66
WV002,12_20_40,63
WV002,12_20_50,69
WV004,12_20_00,82
WV004,12_20_10,82
WV004,12_20_20,83
WV004,12_20_30,82.5
WV004,12_20_40,83
WV004,12_20_50,82
WV001,12_20_00,87
WV001,12_20_10,96
WV001,12_20_20,86.9
WV001,12_20_30,87.4
WV001,12_20_40,87
WV001,12_20_50,87
WV002,12_20_00,67
WV002,12_20_10,67
WV002,12_20_20,66.5
WV002,12_20_30,66
WV002,12_20_40,63
WV002,12_20_50,69
WV003,12_20_00,55
WV003,12_20_10,55
WV003,12_20_20,54
WV003,12_20_30,50
WV003,12_20_40,47
WV003,12_20_50,46
WV004,12_20_00,82
WV004,12_20_10,82
WV004,12_20_20,83
WV004,12_20_30,82.5
WV004,12_20_40,83
WV004,12_20_50,82
WV001,12_20_00,87
WV001,12_20_10,96
WV001,12_20_20,86.9
WV001,12_20_30,87.4
WV001,12_20_40,87
WV001,12_20_50,87
WV002,12_20_00,67
WV002,12_20_10,67
WV002,12_20_20,66.5
WV002,12_20_30,66
WV002,12_20_40,63
WV002,12_20_50,69
WV003,12_20_00,55
WV003,12_20_10,55
WV003,12_20_20,54
WV003,12_20_30,50
WV003,12_20_40,47
WV003,12_20_50,46
