ID,Hora,Valor
WV004,12_20_00,3.8
WV004,12_20_10,3.8
WV004,12_20_20,3.8
WV004,12_20_30,3.8
WV004,12_20_40,3.8
WV004,12_20_50,1.45
WV001,12_20_00,2.2
WV001,12_20_10,2
WV001,12_20_20,2.25
WV001,12_20_30,2.2
WV001,12_20_40,2.2
WV001,12_20_50,2.2
WV002,12_20_00,1.8
WV002,12_20_10,1.87
WV002,12_20_20,1.82
WV002,12_20_30,1.93
WV002,12_20_40,1.8
WV002,12_20_50,1.7
WV003,12_20_00,3.8
WV003,12_20_10,2
WV003,12_20_20,1.5
WV003,12_20_30,2.2
WV003,12_20_40,1.49
WV003,12_20_50,1.7
WV004,12_20_00,3.8
WV004,12_20_10,3.8
WV004,12_20_20,3.8
WV004,12_20_30,3.8
WV004,12_20_40,3.8
WV004,12_20_50,1.45
WV001,12_20_00,2.2
WV001,12_20_10,2
WV001,12_20_20,2.25
WV001,12_20_30,2.2
WV001,12_20_40,2.2
WV001,12_20_50,2.2
WV003,12_20_00,3.8
WV003,12_20_10,2
WV003,12_20_20,1.5
WV003,12_20_30,2.2
WV003,12_20_40,1.49
WV003,12_20_50,1.7
WV002,12_20_00,1.8
WV002,12_20_10,1.87
WV002,12_20_20,1.82
WV002,12_20_30,1.93
WV002,12_20_40,1.8
WV002,12_20_50,1.7
WV004,12_20_00,3.8
WV004,12_20_10,3.8
WV004,12_20_20,3.8
WV004,12_20_30,3.8
WV004,12_20_40,3.8
WV004,12_20_50,1.45
WV001,12_20_00,2.2
WV001,12_20_10,2
WV001,12_20_20,2.25
WV001,12_20_30,2.2
WV001,12_20_40,2.2
WV001,12_20_50,2.2
WV003,12_20_00,3.8
WV003,12_20_10,2
WV003,12_20_20,1.5
WV003,12_20_30,2.2
WV003,12_20_40,1.49
WV003,12_20_50,1.7
WV002,12_20_00,1.8
WV002,12_20_10,1.87
WV002,12_20_20,1.82
WV002,12_20_30,1.93
WV002,12_20_40,1.8
WV002,12_20_50,1.7
WV004,12_20_00,3.8
WV004,12_20_10,3.8
WV004,12_20_20,3.8
WV004,12_20_30,3.8
WV004,12_20_40,3.8
WV004,12_20_50,1.45
WV001,12_20_00,2.2
WV001,12_20_10,2
WV001,12_20_20,2.25
WV001,12_20_30,2.2
WV001,12_20_40,2.2
WV001,12_20_50,2.2
WV002,12_20_00,1.8
WV002,12_20_10,1.87
WV002,12_20_20,1.82
WV002,12_20_30,1.93
WV002,12_20_40,1.8
WV002,12_20_50,1.7
WV003,12_20_00,3.8
WV003,12_20_10,2
WV003,12_20_20,1.5
WV003,12_20_30,2.2
WV003,12_20_40,1.49
WV003,12_20_50,1.7
WV004,12_20_00,3.8
WV004,12_20_10,3.8
WV004,12_20_20,3.8
WV004,12_20_30,3.8
WV004,12_20_40,3.8
WV004,12_20_50,1.45
WV001,12_20_00,2.2
WV001,12_20_10,2
WV001,12_20_20,2.25
WV001,12_20_30,2.2
WV001,12_20_40,2.2
WV001,12_20_50,2.2
WV002,12_20_00,1.8
WV002,12_20_10,1.87
WV002,12_20_20,1.82
WV002,12_20_30,1.93
WV002,12_20_40,1.8
WV002,12_20_50,1.7
WV003,12_20_00,3.8
WV003,12_20_10,2
WV003,12_20_20,1.5
WV003,12_20_30,2.2
WV003,12_20_40,1.49
WV003,12_20_50,1.7
