ID,Hora,Valor
WV004,12_20_00,7.3
WV004,12_20_10,8
WV004,12_20_20,7.5
WV004,12_20_30,7.4
WV004,12_20_40,7.6
WV004,12_20_50,7.2
WV001,12_20_00,7.9
WV001,12_20_10,7.9
WV001,12_20_20,7.95
WV001,12_20_30,7.9
WV001,12_20_40,7.9
WV001,12_20_50,7.9
WV002,12_20_00,7.85
WV002,12_20_10,7.85
WV002,12_20_20,7.8
WV002,12_20_30,7.81
WV002,12_20_40,7.87
WV002,12_20_50,7.83
WV003,12_20_00,7
WV003,12_20_10,6.9
WV003,12_20_20,7.1
WV003,12_20_30,7.2
WV003,12_20_40,7.2
WV003,12_20_50,7.25
WV004,12_20_00,7.3
WV004,12_20_10,8
WV004,12_20_20,7.5
WV004,12_20_30,7.4
WV004,12_20_40,7.6
WV004,12_20_50,7.2
WV001,12_20_00,7.9
WV001,12_20_10,7.9
WV001,12_20_20,7.95
WV001,12_20_30,7.9
WV001,12_20_40,7.9
WV001,12_20_50,7.9
WV002,12_20_00,7.85
WV002,12_20_10,7.85
WV002,12_20_20,7.8
WV002,12_20_30,7.81
WV002,12_20_40,7.87
WV002,12_20_50,7.83
WV003,12_20_00,7
WV003,12_20_10,6.9
WV003,12_20_20,7.1
WV003,12_20_30,7.2
WV003,12_20_40,7.2
WV003,12_20_50,7.25
WV001,12_20_00,7.9
WV001,12_20_10,7.9
WV001,12_20_20,7.95
WV001,12_20_30,7.9
WV001,12_20_40,7.9
WV001,12_20_50,7.9
WV004,12_20_00,7.3
WV004,12_20_10,8
WV004,12_20_20,7.5
WV004,12_20_30,7.4
WV004,12_20_40,7.6
WV004,12_20_50,7.2
WV002,12_20_00,7.85
WV002,12_20_10,7.85
WV002,12_20_20,7.8
WV002,12_20_30,7.81
WV002,12_20_40,7.87
WV002,12_20_50,7.83
WV003,12_20_00,7
WV003,12_20_10,6.9
WV003,12_20_20,7.1
WV003,12_20_30,7.2
WV003,12_20_40,7.2
WV003,12_20_50,7.25
WV004,12_20_00,7.3
WV004,12_20_10,8
WV004,12_20_20,7.5
WV004,12_20_30,7.4
WV004,12_20_40,7.6
WV004,12_20_50,7.2
WV001,12_20_00,7.9
WV001,12_20_10,7.9
WV001,12_20_20,7.95
WV001,12_20_30,7.9
WV001,12_20_40,7.9
WV001,12_20_50,7.9
WV003,12_20_00,7
WV003,12_20_10,6.9
WV003,12_20_20,7.1
WV003,12_20_30,7.2
WV003,12_20_40,7.2
WV003,12_20_50,7.25
WV002,12_20_00,7.85
WV002,12_20_10,7.85
WV002,12_20_20,7.8
WV002,12_20_30,7.81
WV002,12_20_40,7.87
WV002,12_20_50,7.83
WV004,12_20_00,7.3
WV004,12_20_10,8
WV004,12_20_20,7.5
WV004,12_20_30,7.4
WV004,12_20_40,7.6
WV004,12_20_50,7.2
WV001,12_20_00,7.9
WV001,12_20_10,7.9
WV001,12_20_20,7.95
WV001,12_20_30,7.9
WV001,12_20_40,7.9
WV001,12_20_50,7.9
WV002,12_20_00,7.85
WV002,12_20_10,7.85
WV002,12_20_20,7.8
WV002,12_20_30,7.81
WV002,12_20_40,7.87
WV002,12_20_50,7.83
WV003,12_20_00,7
WV003,12_20_10,6.9
WV003,12_20_20,7.1
WV003,12_20_30,7.2
WV003,12_20_40,7.2
WV003,12_20_50,7.25
