ID,Hora,Valor
WV004,12_20_00,9
WV004,12_20_10,9.1
WV004,12_20_20,9.2
WV004,12_20_30,9.3
WV004,12_20_40,9.4
WV004,12_20_50,9.5
WV001,12_20_00,15
WV001,12_20_10,14
WV001,12_20_20,14.85
WV001,12_20_30,14.6
WV001,12_20_40,15
WV001,12_20_50,15
WV002,12_20_00,18
WV002,12_20_10,18.05
WV002,12_20_20,18.15
WV002,12_20_30,18.4
WV002,12_20_40,19
WV002,12_20_50,18.8
WV003,12_20_00,12
WV003,12_20_10,12.8
WV003,12_20_20,12.57
WV003,12_20_30,12.34
WV003,12_20_40,12
WV003,12_20_50,12.5
WV004,12_20_00,9
WV004,12_20_10,9.1
WV004,12_20_20,9.2
WV004,12_20_30,9.3
WV004,12_20_40,9.4
WV004,12_20_50,9.5
WV001,12_20_00,15
WV001,12_20_10,14
WV001,12_20_20,14.85
WV001,12_20_30,14.6
WV001,12_20_40,15
WV001,12_20_50,15
WV003,12_20_00,12
WV003,12_20_10,12.8
WV003,12_20_20,12.57
WV003,12_20_30,12.34
WV003,12_20_40,12
WV003,12_20_50,12.5
WV002,12_20_00,18
WV002,12_20_10,18.05
WV002,12_20_20,18.15
WV002,12_20_30,18.4
WV002,12_20_40,19
WV002,12_20_50,18.8
WV004,12_20_00,9
WV004,12_20_10,9.1
WV004,12_20_20,9.2
WV004,12_20_30,9.3
WV004,12_20_40,9.4
WV004,12_20_50,9.5
WV001,12_20_00,15
WV001,12_20_10,14
WV001,12_20_20,14.85
WV001,12_20_30,14.6
WV001,12_20_40,15
WV001,12_20_50,15
WV003,12_20_00,12
WV003,12_20_10,12.8
WV003,12_20_20,12.57
WV003,12_20_30,12.34
WV003,12_20_40,12
WV003,12_20_50,12.5
WV002,12_20_00,18
WV002,12_20_10,18.05
WV002,12_20_20,18.15
WV002,12_20_30,18.4
WV002,12_20_40,19
WV002,12_20_50,18.8
WV004,12_20_00,9
WV004,12_20_10,9.1
WV004,12_20_20,9.2
WV004,12_20_30,9.3
WV004,12_20_40,9.4
WV004,12_20_50,9.5
WV001,12_20_00,15
WV001,12_20_10,14
WV001,12_20_20,14.85
WV001,12_20_30,14.6
WV001,12_20_40,15
WV001,12_20_50,15
WV002,12_20_00,18
WV002,12_20_10,18.05
WV002,12_20_20,18.15
WV002,12_20_30,18.4
WV002,12_20_40,19
WV002,12_20_50,18.8
WV003,12_20_00,12
WV003,12_20_10,12.8
WV003,12_20_20,12.57
WV003,12_20_30,12.34
WV003,12_20_40,12
WV003,12_20_50,12.5
WV004,12_20_00,9
WV004,12_20_10,9.1
WV004,12_20_20,9.2
WV004,12_20_30,9.3
WV004,12_20_40,9.4
WV004,12_20_50,9.5
WV001,12_20_00,15
WV001,12_20_10,14
WV001,12_20_20,14.85
WV001,12_20_30,14.6
WV001,12_20_40,15
WV001,12_20_50,15
WV002,12_20_00,18
WV002,12_20_10,18.05
WV002,12_20_20,18.15
WV002,12_20_30,18.4
WV002,12_20_40,19
WV002,12_20_50,18.8
WV003,12_20_00,12
WV003,12_20_10,12.8
WV003,12_20_20,12.57
WV003,12_20_30,12.34
WV003,12_20_40,12
WV003,12_20_50,12.5
